run_id,timestamp,description,val_rmse,train_rmse,kept,notes
0,2026-05-06T13:52:15.765282,baseline MLP verbatim from notebook,1.319,0.6583,yes,
1,2026-05-06T13:54:48.666003,LayerNorm in hidden block instead of BatchNorm,1.36,0.6607,no,
2,2026-05-06T13:57:45.951502,dropout sweep: 0.1,1.3253,0.5151,no,
3,2026-05-06T14:00:13.081986,dropout sweep: 0.3,1.3183,0.6632,no,
4,2026-05-06T14:02:24.927992,dropout sweep: 0.4,1.3462,0.6685,no,
5,2026-05-06T14:07:31.945470,dropout sweep: 0.5,1.3893,0.8215,no,
6,2026-05-06T14:09:23.219264,modality dropout p=0.05 on drug+protein inputs,1.291,0.6805,yes,delta=0.0280
7,2026-05-06T14:15:35.796556,modality dropout p=0.10 on drug+protein inputs,1.2769,0.621,yes,delta=0.0141
8,2026-05-06T14:20:48.271418,modality dropout p=0.15 on drug+protein inputs,1.2881,0.6223,no,delta=-0.0112
9,2026-05-06T14:32:14.641287,input vector dropout p=0.1 before first linear,1.3095,0.7806,no,delta=-0.0326
10,2026-05-06T14:36:07.556895,input vector dropout p=0.2 before first linear,1.3223,0.8215,no,delta=-0.0454
11,2026-05-06T14:40:00.615283,label noise sigma=0.05 on pKd during training,1.3022,0.699,no,delta=-0.0253
12,2026-05-06T14:47:51.434189,label noise sigma=0.10 on pKd during training,1.3026,0.7143,no,delta=-0.0257
13,2026-05-06T14:49:33.854803,label noise sigma=0.20 on pKd during training,1.2985,0.6702,no,delta=-0.0216
14,2026-05-06T14:51:12.084808,AdamW weight_decay=1e-5,1.307,0.7153,no,delta=-0.0301
15,2026-05-06T15:01:17.121139,AdamW weight_decay=1e-4,1.2816,0.6202,no,delta=-0.0047
16,2026-05-06T15:05:46.650975,AdamW weight_decay=1e-3,1.3004,0.7185,no,delta=-0.0235
17,2026-05-06T15:08:26.172272,GELU activation instead of ReLU,1.289,0.7743,no,delta=-0.0121
18,2026-05-06T15:10:05.190808,SiLU activation instead of ReLU,1.3113,0.8135,no,delta=-0.0344
19,2026-05-06T15:19:40.299330,hidden dims [256],1.3435,0.8186,no,delta=-0.0666
20,2026-05-06T15:24:23.044844,"hidden dims [768, 384]",1.3117,0.6976,no,delta=-0.0348
21,2026-05-06T15:26:37.662154,"hidden dims [1024, 512, 256]",1.2903,0.718,no,delta=-0.0134
22,2026-05-06T15:30:06.336116,"hidden dims [512, 512, 256]",1.2858,0.5906,no,delta=-0.0089
23,2026-05-06T15:32:12.691272,LR sweep: lr=5e-4,1.3074,0.6539,no,delta=-0.0305
24,2026-05-06T15:35:21.967128,LR sweep: lr=5e-5,1.3189,0.6625,no,delta=-0.0420
25,2026-05-06T15:44:33.563096,cosine annealing LR schedule T_max=100 eta_min=1e-6,1.3109,0.7953,no,delta=-0.0340
26,2026-05-06T15:46:33.839200,GaussianNLL loss head output_dim=2,1.3695,0.8608,no,delta=-0.0926
27,2026-05-06T15:49:21.046554,modality dropout p=0.07,1.2982,0.619,no,delta=-0.0213
28,2026-05-06T15:50:54.709450,modality dropout p=0.12,1.3223,0.7263,no,delta=-0.0454
29,2026-05-06T15:52:16.697372,combo: modality_drop=0.10 + AdamW wd=1e-4,1.3047,0.7899,no,delta=-0.0278
30,2026-05-06T15:54:04.281080,combo: modality_drop=0.10 + hidden dropout=0.3,1.3083,0.7282,no,delta=-0.0314
31,2026-05-06T15:56:04.959248,residual connections between same-width hidden layers,1.3152,0.8135,no,delta=-0.0383
32,2026-05-06T15:59:00.524339,"separate projection heads drug 768->256 + prot 1024->256 then [512,256] MLP",1.3281,0.8288,no,delta=-0.0512
33,2026-05-06T16:00:21.656986,asymmetric modality dropout: drug p=0.10 prot p=0.20,1.3233,0.8047,no,delta=-0.0464
34,2026-05-06T16:02:01.622703,warmup 5 epochs + cosine LR schedule,1.3225,0.6616,no,delta=-0.0456
35,2026-05-06T16:03:37.198976,modality_drop=0.15 + hidden dropout=0.1,1.3123,0.6512,no,delta=-0.0354
36,2026-05-06T16:04:43.283077,batch_size=512,1.3059,0.7054,no,delta=-0.0290
37,2026-05-06T16:07:06.243287,batch_size=128,1.2992,0.6531,no,delta=-0.0223
38,2026-05-06T16:08:22.523425,longer training EPOCHS=200 PATIENCE=30,1.3073,0.7928,no,delta=-0.0304
39,2026-05-06T16:11:41.352320,SwiGLU activation (sigmoid-gate * value with BN),1.3218,0.7204,no,delta=-0.0449
40,2026-05-06T16:13:22.699485,LR=1e-3,1.3084,0.6795,no,delta=-0.0315
41,2026-05-06T16:14:43.579885,LR=5e-3,1.3144,0.7625,no,delta=-0.0375
42,2026-05-06T16:16:31.689729,modality dropout p=0.08,1.311,0.6279,no,delta=-0.0341
43,2026-05-06T16:18:18.537953,embedding noise std=0.01 on drug+protein embs during training,1.2872,0.6814,no,delta=-0.0103
44,2026-05-06T16:19:40.867417,AdamW weight_decay=5e-5,1.3049,0.7102,no,delta=-0.0280
45,2026-05-06T16:20:56.889776,AdamW weight_decay=2e-4,1.2921,0.7237,no,delta=-0.0152
46,2026-05-06T16:22:01.442280,gradient clipping max_norm=0.5,1.3006,0.7885,no,delta=-0.0237
47,2026-05-06T16:24:20.614877,"combo: modality_drop=0.10 + hidden dims [1024,512,256]",1.2712,0.6275,no,new best but delta=+0.0057 < 0.01 threshold
48,2026-05-06T16:25:38.684335,"target clamping pKd to [3.0, 12.0] during training",1.3018,0.8013,no,delta=-0.0249
49,2026-05-06T16:27:51.745587,ELU activation instead of ReLU,1.3322,0.7505,no,delta=-0.0553
50,2026-05-06T16:29:19.572913,combo: modality_drop=0.10 + AdamW wd=2e-4,1.3017,0.7168,no,delta=-0.0248
51,2026-05-06T16:31:21.991752,"hidden dims [2048,1024,512,256] with modality_drop=0.10",1.3075,0.7009,no,delta=-0.0306
52,2026-05-06T16:33:48.850264,"hidden dims [1024,512,256,128] with modality_drop=0.10",1.289,0.62,no,delta=-0.0121
53,2026-05-06T16:35:10.554965,"hidden dims [1024,512] with modality_drop=0.10",1.2971,0.6609,no,delta=-0.0202
54,2026-05-06T16:37:12.548306,"combo: modality_drop=0.10 + hidden [512,512,256]",1.2861,0.5957,no,delta=-0.0092
55,2026-05-06T16:38:41.606588,"combo: modality_drop=0.10 + [1024,512,256] + GELU",1.2893,0.7327,no,delta=-0.0124
56,2026-05-06T16:40:47.974771,drug-only modality dropout p=0.10 (protein always present),1.3112,0.5681,no,delta=-0.0343
57,2026-05-06T16:41:54.475436,protein-only modality dropout p=0.10 (drug always present),1.3183,0.7643,no,delta=-0.0414
58,2026-05-06T16:43:24.717206,LayerNorm on concatenated (drug||prot) vector before MLP,1.3063,0.6792,no,delta=-0.0294
59,2026-05-06T16:45:27.630549,Mixup augmentation alpha=0.4 on drug+prot embs and pKd targets,1.2573,0.7698,yes,new best delta=+0.0196 COMMITTED
60,2026-05-06T16:47:45.714297,Mixup alpha=0.2,1.2617,0.7347,no,delta=-0.0044
61,2026-05-06T16:50:07.256921,Mixup alpha=0.6,1.2685,0.7664,no,delta=-0.0112
62,2026-05-06T16:52:51.184432,"combo: Mixup alpha=0.4 + hidden [1024,512,256] + modality_drop=0.10",1.2322,0.6851,yes,new best delta=+0.0251 COMMITTED
63,2026-05-06T16:55:20.337408,"Mixup+[1024,512,256]+dropout=0.15",1.2437,0.6964,no,delta=-0.0115
64,2026-05-06T16:57:55.141472,"Mixup+[1024,512,256]+modality_drop=0.15",1.2376,0.7481,no,delta=-0.0054
65,2026-05-06T17:00:23.723102,"Mixup alpha=0.4 + hidden [2048,1024,512,256]",1.2464,0.71,no,delta=-0.0142
66,2026-05-06T17:02:37.445475,"Mixup+[1024,512,256]+AdamW wd=1e-4",1.2477,0.7144,no,delta=-0.0155
67,2026-05-06T17:04:51.758695,"Mixup alpha=0.3 with [1024,512,256]",1.2488,0.7006,no,delta=-0.0166
68,2026-05-06T17:07:27.035390,"Mixup+[1024,512,256] no modality dropout (ablation)",1.2722,0.5981,no,delta=-0.0400; modality dropout is helpful
69,2026-05-06T17:10:15.083627,"Mixup+[1024,512,256]+EPOCHS=200,PATIENCE=30",1.2383,0.7021,no,delta=-0.0061
70,2026-05-06T17:12:59.302261,"Mixup alpha=0.5 with [1024,512,256]",1.2314,0.7241,no,near-miss: delta=+0.0008 < 0.01 threshold
71,2026-05-06T17:15:29.279638,"Mixup+[1024,512,256]+dropout=0.25",1.2328,0.7334,no,delta=-0.0006
72,2026-05-06T17:18:22.184095,"Mixup+[1024,512,256,128]",1.2519,0.7873,no,delta=-0.0197
73,2026-05-06T17:20:17.505395,"Mixup+[1024,512,256]+batch_size=512",1.2558,0.7056,no,delta=-0.0236
